INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,NODES
b2c1s1,cplex-default,29,Feasible,26083.2,70879
b2c1s1,cplex-polishing,29,Feasible,25716.92,50011
b2c1s1,maravilha,29,Feasible,25711.91923,52308
b2c1s1,none,29,Feasible,26083.2,50000
b2c1s1,rothberg,29,Feasible,25716.92,50019
b2c1s1,cplex-default,173,Feasible,26239.02,73411
b2c1s1,cplex-polishing,173,Feasible,25701.91,50013
b2c1s1,maravilha,173,Feasible,25687.91,50628
b2c1s1,none,173,Feasible,26239.02,50000
b2c1s1,rothberg,173,Feasible,25701.90999,50014
b2c1s1,cplex-default,281,Feasible,25917.72,80933
b2c1s1,cplex-polishing,281,Feasible,25687.91,50013
b2c1s1,maravilha,281,Feasible,25687.91,51165
b2c1s1,none,281,Feasible,25917.72,50000
b2c1s1,rothberg,281,Feasible,25917.72,52902
b2c1s1,cplex-default,409,Feasible,26113.13,75449
b2c1s1,cplex-polishing,409,Feasible,25789.63,50013
b2c1s1,maravilha,409,Feasible,25687.91,51467
b2c1s1,none,409,Feasible,26357.12,50000
b2c1s1,rothberg,409,Feasible,25857.17,50024
b2c1s1,cplex-default,541,Feasible,26201.07,76001
b2c1s1,cplex-polishing,541,Feasible,25789.63,50014
b2c1s1,maravilha,541,Feasible,25687.90994,53648
b2c1s1,none,541,Feasible,26201.07,50000
b2c1s1,rothberg,541,Feasible,25862.91999,50020
bab1,cplex-default,29,Feasible,-218706.04775,67219
bab1,cplex-polishing,29,Feasible,-218706.04775,50007
bab1,maravilha,29,Feasible,-218706.04775,50002
bab1,none,29,Feasible,-218706.04775,50000
bab1,rothberg,29,Feasible,-218706.04775,50003
bab1,cplex-default,173,Feasible,-218706.04775,69661
bab1,cplex-polishing,173,Feasible,-218764.88525,50006
bab1,maravilha,173,Feasible,-218764.88525,50003
bab1,none,173,Feasible,-218706.04775,50000
bab1,rothberg,173,Feasible,-218764.88525,50002
bab1,cplex-default,281,Feasible,-218706.04775,69001
bab1,cplex-polishing,281,Feasible,-218764.88525,50006
bab1,maravilha,281,Feasible,-218764.88525,50004
bab1,none,281,Feasible,-218706.04775,50000
bab1,rothberg,281,Feasible,-218764.88525,50002
bab1,cplex-default,409,Feasible,-218764.88525,67081
bab1,cplex-polishing,409,Feasible,-218764.88525,50006
bab1,maravilha,409,Feasible,-218764.88525,50007
bab1,none,409,Feasible,-218764.88525,50000
bab1,rothberg,409,Feasible,-218764.88525,50001
bab1,cplex-default,541,Feasible,-218764.88525,68517
bab1,cplex-polishing,541,Feasible,-218764.88525,50007
bab1,maravilha,541,Feasible,-218764.88525,50004
bab1,none,541,Feasible,-218764.88525,50000
bab1,rothberg,541,Feasible,-218764.88525,50002
bg512142,cplex-default,29,Feasible,206168,72776
bg512142,cplex-polishing,29,Feasible,191175.5,50001
bg512142,maravilha,29,Feasible,185414,50156
bg512142,none,29,Feasible,206168,50000
bg512142,rothberg,29,Feasible,190545.625,50009
bg512142,cplex-default,173,Feasible,209098,71026
bg512142,cplex-polishing,173,Feasible,195411.5,50001
bg512142,maravilha,173,Feasible,192496.1,50252
bg512142,none,173,Feasible,209098,50000
bg512142,rothberg,173,Feasible,188132,50003
bg512142,cplex-default,281,Feasible,206730.5,73720
bg512142,cplex-polishing,281,Feasible,195229,50001
bg512142,maravilha,281,Feasible,189210.16667,50265
bg512142,none,281,Feasible,206730.5,50000
bg512142,rothberg,281,Feasible,190766.5,50007
bg512142,cplex-default,409,Feasible,198719,69306
bg512142,cplex-polishing,409,Feasible,190873.5,50001
bg512142,maravilha,409,Feasible,193711.5,50316
bg512142,none,409,Feasible,208651.16667,50000
bg512142,rothberg,409,Feasible,190959,50005
bg512142,cplex-default,541,Feasible,206060.75,72501
bg512142,cplex-polishing,541,Feasible,194880.5,50001
bg512142,maravilha,541,Feasible,188648.5,50257
bg512142,none,541,Feasible,206060.75,50000
bg512142,rothberg,541,Feasible,187927.75,50005
d10200,cplex-default,29,Feasible,12446,70650
d10200,cplex-polishing,29,Feasible,12447,50003
d10200,maravilha,29,Feasible,12438,50162
d10200,none,29,Feasible,12447,50000
d10200,rothberg,29,Feasible,12447,50001
d10200,cplex-default,173,Feasible,12450,69114
d10200,cplex-polishing,173,Feasible,12435,50004
d10200,maravilha,173,Feasible,12444,50240
d10200,none,173,Feasible,12454,50000
d10200,rothberg,173,Feasible,12449,50003
d10200,cplex-default,281,Feasible,12445,69633
d10200,cplex-polishing,281,Feasible,12436,50003
d10200,maravilha,281,Feasible,12442,50193
d10200,none,281,Feasible,12448,50000
d10200,rothberg,281,Feasible,12442,50001
d10200,cplex-default,409,Feasible,12445,72658
d10200,cplex-polishing,409,Feasible,12444,50002
d10200,maravilha,409,Feasible,12441,50254
d10200,none,409,Feasible,12455,50000
d10200,rothberg,409,Feasible,12455,50001
d10200,cplex-default,541,Feasible,12448,70827
d10200,cplex-polishing,541,Feasible,12443,50003
d10200,maravilha,541,Feasible,12441,50290
d10200,none,541,Feasible,12448,50000
d10200,rothberg,541,Feasible,12448,50002
d20200,cplex-default,29,Feasible,12266,87392
d20200,cplex-polishing,29,Feasible,12266,50003
d20200,maravilha,29,Feasible,12266,50523
d20200,none,29,Feasible,12266,50000
d20200,rothberg,29,Feasible,12266,50002
d20200,cplex-default,173,Feasible,12269,91823
d20200,cplex-polishing,173,Feasible,12260,50004
d20200,maravilha,173,Feasible,12261,50286
d20200,none,173,Feasible,12278,50000
d20200,rothberg,173,Feasible,12275,50003
d20200,cplex-default,281,Feasible,12285,91645
d20200,cplex-polishing,281,Feasible,12258,50005
d20200,maravilha,281,Feasible,12268,50587
d20200,none,281,Feasible,12285,50000
d20200,rothberg,281,Feasible,12261,50003
d20200,cplex-default,409,Feasible,12272,92641
d20200,cplex-polishing,409,Feasible,12267,50004
d20200,maravilha,409,Feasible,12284,50337
d20200,none,409,Feasible,12287,50000
d20200,rothberg,409,Feasible,12272,50007
d20200,cplex-default,541,Feasible,12272,93579
d20200,cplex-polishing,541,Feasible,12271,50004
d20200,maravilha,541,Feasible,12263,50261
d20200,none,541,Feasible,12281,50000
d20200,rothberg,541,Feasible,12277,50004
dc1c,cplex-default,29,Feasible,1781453.9501,74718
dc1c,cplex-polishing,29,Feasible,1779828.0101,50013
dc1c,maravilha,29,Feasible,1781438.1101,50229
dc1c,none,29,Feasible,1781453.9501,50000
dc1c,rothberg,29,Feasible,1780077.3801,50059
dc1c,cplex-default,173,Feasible,1804592.2501,78001
dc1c,cplex-polishing,173,Feasible,1800535.2601,50017
dc1c,maravilha,173,Feasible,1789641.5301,51808
dc1c,none,173,Feasible,1814863.0201,50000
dc1c,rothberg,173,Feasible,1790848.4301,50304
dc1c,cplex-default,281,Feasible,1802654.9101,78917
dc1c,cplex-polishing,281,Feasible,1789844.1601,50015
dc1c,maravilha,281,Feasible,1793256.9901,51449
dc1c,none,281,Feasible,1803285.7401,50000
dc1c,rothberg,281,Feasible,1781861.0201,50160
dc1c,cplex-default,409,Feasible,1790575.9601,77241
dc1c,cplex-polishing,409,Feasible,1788921.6501,50015
dc1c,maravilha,409,Feasible,1790409.9301,50325
dc1c,none,409,Feasible,1790575.9601,50000
dc1c,rothberg,409,Feasible,1784951.9001,50021
dc1c,cplex-default,541,Feasible,1791319.7301,76242
dc1c,cplex-polishing,541,Feasible,1788626.8001,50015
dc1c,maravilha,541,Feasible,1791310.3501,50123
dc1c,none,541,Feasible,1791372.6201,50000
dc1c,rothberg,541,Feasible,1780155.8201,50228
dc1l,cplex-default,29,Feasible,1826296.5001,89736
dc1l,cplex-polishing,29,Feasible,1797586.1701,50044
dc1l,maravilha,29,Feasible,1815251.5301,51677
dc1l,none,29,Feasible,1826531.1201,50000
dc1l,rothberg,29,Feasible,1801848.1201,50340
dc1l,cplex-default,173,Feasible,1835570.4901,89048
dc1l,cplex-polishing,173,Feasible,1805981.9701,50046
dc1l,maravilha,173,Feasible,1781953.8601,52492
dc1l,none,173,Feasible,1835612.2901,50000
dc1l,rothberg,173,Feasible,1808509.3001,50258
dc1l,cplex-default,281,Feasible,1835568.0901,90174
dc1l,cplex-polishing,281,Feasible,1805050.5501,50049
dc1l,maravilha,281,Feasible,1801875.4801,52812
dc1l,none,281,Feasible,1835846.4101,50000
dc1l,rothberg,281,Feasible,1799675.8701,50392
dc1l,cplex-default,409,Feasible,1824371.1001,88164
dc1l,cplex-polishing,409,Feasible,1796310.1501,50038
dc1l,maravilha,409,Feasible,1805079.4801,52632
dc1l,none,409,Feasible,1824661.2601,50000
dc1l,rothberg,409,Feasible,1792759.3501,50338
dc1l,cplex-default,541,Feasible,1803922.2701,95384
dc1l,cplex-polishing,541,Feasible,1798798.8801,50041
dc1l,maravilha,541,Feasible,1793378.7801,53948
dc1l,none,541,Feasible,1804385.4501,50000
dc1l,rothberg,541,Feasible,1790561.3901,50517
dg012142,cplex-default,29,Feasible,4133983,71819
dg012142,cplex-polishing,29,Feasible,3457524.93581,50001
dg012142,maravilha,29,Feasible,3057076.22074,50281
dg012142,none,29,Feasible,4370888.42424,50000
dg012142,rothberg,29,Feasible,3400321.62366,50019
dg012142,cplex-default,173,Feasible,3336308.08631,69382
dg012142,cplex-polishing,173,Feasible,2329439.33333,50001
dg012142,maravilha,173,Feasible,2317691,50297
dg012142,none,173,Feasible,3336308.08631,50000
dg012142,rothberg,173,Feasible,2318208.91045,50008
dg012142,cplex-default,281,Feasible,4020933.34694,70693
dg012142,cplex-polishing,281,Feasible,3237697.06897,50001
dg012142,maravilha,281,Feasible,2866375.86667,50181
dg012142,none,281,Feasible,4020933.34694,50000
dg012142,rothberg,281,Feasible,3021908,50003
dg012142,cplex-default,409,Feasible,3807990,72136
dg012142,cplex-polishing,409,Feasible,2916132,50001
dg012142,maravilha,409,Feasible,2511492.5,50084
dg012142,none,409,Feasible,3807990,50000
dg012142,rothberg,409,Feasible,2716268.75,50012
dg012142,cplex-default,541,Feasible,3798069,72401
dg012142,cplex-polishing,541,Feasible,2923474,50001
dg012142,maravilha,541,Feasible,2539716.5,50232
dg012142,none,541,Feasible,3798069,50000
dg012142,rothberg,541,Feasible,2709861.06667,50003
dolom1,cplex-default,29,Feasible,86862616.97001,73452
dolom1,cplex-polishing,29,Feasible,16731798.0707,50011
dolom1,maravilha,29,Feasible,47434617.0767,50073
dolom1,none,29,Feasible,86875962.98,50000
dolom1,rothberg,29,Feasible,18989116.0931,50145
dolom1,cplex-default,173,Feasible,61295537.0353,72459
dolom1,cplex-polishing,173,Feasible,22946212.1227,50009
dolom1,maravilha,173,Feasible,20678257.0996,50059
dolom1,none,173,Feasible,86106597.053,50000
dolom1,rothberg,173,Feasible,14144090.0546,50150
dolom1,cplex-default,281,Feasible,108860866.98229,74271
dolom1,cplex-polishing,281,Feasible,17085586.0337,50011
dolom1,maravilha,281,Feasible,69383529.0947,50108
dolom1,none,281,Feasible,128897588.9608,50000
dolom1,rothberg,281,Feasible,15259110.0659,50183
dolom1,cplex-default,409,Feasible,130896443.97082,72324
dolom1,cplex-polishing,409,Feasible,11864906.0119,50014
dolom1,maravilha,409,Feasible,71905114.1002,50135
dolom1,none,409,Feasible,139924775.95943,50000
dolom1,rothberg,409,Feasible,51742897.24914,50002
dolom1,cplex-default,541,Feasible,117888206.98,73252
dolom1,cplex-polishing,541,Feasible,22679017.0996,50015
dolom1,maravilha,541,Feasible,59551123.05947,50097
dolom1,none,541,Feasible,126906566.99,50000
dolom1,rothberg,541,Feasible,25843427.0711,50186
ex1010-pi,cplex-default,29,Feasible,241,84454
ex1010-pi,cplex-polishing,29,Feasible,238,50017
ex1010-pi,maravilha,29,Feasible,238,53733
ex1010-pi,none,29,Feasible,243,50000
ex1010-pi,rothberg,29,Feasible,235,50009
ex1010-pi,cplex-default,173,Feasible,244,87132
ex1010-pi,cplex-polishing,173,Feasible,238,50018
ex1010-pi,maravilha,173,Feasible,242,52491
ex1010-pi,none,173,Feasible,245,50000
ex1010-pi,rothberg,173,Feasible,237,50009
ex1010-pi,cplex-default,281,Feasible,241,82001
ex1010-pi,cplex-polishing,281,Feasible,238,50019
ex1010-pi,maravilha,281,Feasible,239,54112
ex1010-pi,none,281,Feasible,242,50000
ex1010-pi,rothberg,281,Feasible,237,50009
ex1010-pi,cplex-default,409,Feasible,244,90686
ex1010-pi,cplex-polishing,409,Feasible,241,50024
ex1010-pi,maravilha,409,Feasible,240,56012
ex1010-pi,none,409,Feasible,245,50000
ex1010-pi,rothberg,409,Feasible,237,50015
ex1010-pi,cplex-default,541,Feasible,244,84801
ex1010-pi,cplex-polishing,541,Feasible,241,50024
ex1010-pi,maravilha,541,Feasible,243,53714
ex1010-pi,none,541,Feasible,245,50000
ex1010-pi,rothberg,541,Feasible,237,50009
g200x740i,cplex-default,29,Feasible,31011,69456
g200x740i,cplex-polishing,29,Feasible,30435,50007
g200x740i,maravilha,29,Feasible,30114.9992,50590
g200x740i,none,29,Feasible,31053,50000
g200x740i,rothberg,29,Feasible,31022,50385
g200x740i,cplex-default,173,Feasible,31745,66311
g200x740i,cplex-polishing,173,Feasible,31016,50006
g200x740i,maravilha,173,Feasible,30212.99976,50392
g200x740i,none,173,Feasible,31914,50000
g200x740i,rothberg,173,Feasible,31267,50360
g200x740i,cplex-default,281,Feasible,31463,68007
g200x740i,cplex-polishing,281,Feasible,30516,50011
g200x740i,maravilha,281,Feasible,30123.99955,50633
g200x740i,none,281,Feasible,31463,50000
g200x740i,rothberg,281,Feasible,30846,50586
g200x740i,cplex-default,409,Feasible,32080,69421
g200x740i,cplex-polishing,409,Feasible,30576,50007
g200x740i,maravilha,409,Feasible,30177.99954,50725
g200x740i,none,409,Feasible,32252,50000
g200x740i,rothberg,409,Feasible,30909.99992,50432
g200x740i,cplex-default,541,Feasible,32000,69759
g200x740i,cplex-polishing,541,Feasible,30167,50006
g200x740i,maravilha,541,Feasible,30273.99867,50498
g200x740i,none,541,Feasible,32000,50000
g200x740i,rothberg,541,Feasible,31297,50429
germanrr,cplex-default,29,Feasible,47105305.3396,70363
germanrr,cplex-polishing,29,Feasible,47095869.6494,50018
germanrr,maravilha,29,Feasible,47095869.6494,54674
germanrr,none,29,Feasible,47105305.3396,50000
germanrr,rothberg,29,Feasible,47095871.1794,51012
germanrr,cplex-default,173,Feasible,47125355.6706,69848
germanrr,cplex-polishing,173,Feasible,47105303.8106,50018
germanrr,maravilha,173,Feasible,47095869.6494,53917
germanrr,none,173,Feasible,47125355.6706,50000
germanrr,rothberg,173,Feasible,47095891.139,50023
germanrr,cplex-default,281,Feasible,47115734.038,69547
germanrr,cplex-polishing,281,Feasible,47105713.5596,50016
germanrr,maravilha,281,Feasible,47095869.6498,54964
germanrr,none,281,Feasible,47115945.5582,50000
germanrr,rothberg,281,Feasible,47095869.6494,50024
germanrr,cplex-default,409,Feasible,47096138.259,69390
germanrr,cplex-polishing,409,Feasible,47105303.8096,50015
germanrr,maravilha,409,Feasible,47115921.5094,54712
germanrr,none,409,Feasible,47135791.1692,50000
germanrr,rothberg,409,Feasible,47105303.8096,50343
germanrr,cplex-default,541,Feasible,47135415.519,76411
germanrr,cplex-polishing,541,Feasible,47125981.3588,50019
germanrr,maravilha,541,Feasible,47115921.5094,56713
germanrr,none,541,Feasible,47135420.8586,50000
germanrr,rothberg,541,Feasible,47095869.6494,50033
gmut-75-50,cplex-default,29,Feasible,-14179039.5259,75814
gmut-75-50,cplex-polishing,29,Feasible,-14179386.2042,50070
gmut-75-50,maravilha,29,Feasible,-14178846.4113,50151
gmut-75-50,none,29,Feasible,-14178846.4113,50000
gmut-75-50,rothberg,29,Feasible,-14178902.7347,50006
gmut-75-50,cplex-default,173,Feasible,-14178075.6169,74747
gmut-75-50,cplex-polishing,173,Feasible,-14178293.7437,50066
gmut-75-50,maravilha,173,Feasible,-14177445.74091,50182
gmut-75-50,none,173,Feasible,-14176884.8106,50000
gmut-75-50,rothberg,173,Feasible,-14177391.5942,50006
gmut-75-50,cplex-default,281,Feasible,-14178872.1197,72871
gmut-75-50,cplex-polishing,281,Feasible,-14179207.3447,50084
gmut-75-50,maravilha,281,Feasible,-14178041.66262,50202
gmut-75-50,none,281,Feasible,-14178003.1162,50000
gmut-75-50,rothberg,281,Feasible,-14178014.8568,50008
gmut-75-50,cplex-default,409,Feasible,-14179269.4403,80361
gmut-75-50,cplex-polishing,409,Feasible,-14179642.6216,50095
gmut-75-50,maravilha,409,Feasible,-14179219.2427,50008
gmut-75-50,none,409,Feasible,-14179219.2427,50000
gmut-75-50,rothberg,409,Feasible,-14179219.24282,50009
gmut-75-50,cplex-default,541,Feasible,-14179378.6721,69676
gmut-75-50,cplex-polishing,541,Feasible,-14179354.6834,50075
gmut-75-50,maravilha,541,Feasible,-14178687.2803,50188
gmut-75-50,none,541,Feasible,-14178687.2803,50000
gmut-75-50,rothberg,541,Feasible,-14178687.2806,50006
gmut-77-40,cplex-default,29,Feasible,-14167114.3297,73121
gmut-77-40,cplex-polishing,29,Feasible,-14166929.2483,50031
gmut-77-40,maravilha,29,Feasible,-14166648.22121,50015
gmut-77-40,none,29,Feasible,-14166564.5419,50000
gmut-77-40,rothberg,29,Feasible,-14166738.97014,50015
gmut-77-40,cplex-default,173,Feasible,-14168094.6835,70090
gmut-77-40,cplex-polishing,173,Feasible,-14168113.1676,50027
gmut-77-40,maravilha,173,Feasible,-14167550.97047,50310
gmut-77-40,none,173,Feasible,-14167532.5555,50000
gmut-77-40,rothberg,173,Feasible,-14167708.7465,50009
gmut-77-40,cplex-default,281,Feasible,-14167208.3403,70656
gmut-77-40,cplex-polishing,281,Feasible,-14167157.5817,50022
gmut-77-40,maravilha,281,Feasible,-14167056.9383,50371
gmut-77-40,none,281,Feasible,-14167010.6276,50000
gmut-77-40,rothberg,281,Feasible,-14167016.09594,50007
gmut-77-40,cplex-default,409,Feasible,-14167014.0601,72377
gmut-77-40,cplex-polishing,409,Feasible,-14167080.2175,50029
gmut-77-40,maravilha,409,Feasible,-14167001.96196,50341
gmut-77-40,none,409,Feasible,-14166994.2427,50000
gmut-77-40,rothberg,409,Feasible,-14166994.2427,50009
gmut-77-40,cplex-default,541,Feasible,-14166276.9172,78743
gmut-77-40,cplex-polishing,541,Feasible,-14168466.6274,50033
gmut-77-40,maravilha,541,Feasible,-14165092.64299,50460
gmut-77-40,none,541,Feasible,-14164984.5152,50000
gmut-77-40,rothberg,541,Feasible,-14165217.73162,50018
liu,cplex-default,29,Feasible,1242,64428
liu,cplex-polishing,29,Feasible,1234,50001
liu,maravilha,29,Feasible,1250,50048
liu,none,29,Feasible,1276,50000
liu,rothberg,29,Feasible,1208,50001
liu,cplex-default,173,Feasible,1260,66101
liu,cplex-polishing,173,Feasible,1250,50001
liu,maravilha,173,Feasible,1216,50050
liu,none,173,Feasible,1300,50000
liu,rothberg,173,Feasible,1272,50001
liu,cplex-default,281,Feasible,1248,69546
liu,cplex-polishing,281,Feasible,1172,50001
liu,maravilha,281,Feasible,1214,50046
liu,none,281,Feasible,1264,50000
liu,rothberg,281,Feasible,1210,50002
liu,cplex-default,409,Feasible,1222,64475
liu,cplex-polishing,409,Feasible,1188,50001
liu,maravilha,409,Feasible,1210,50043
liu,none,409,Feasible,1222,50000
liu,rothberg,409,Feasible,1172,50002
liu,cplex-default,541,Feasible,1256,63451
liu,cplex-polishing,541,Feasible,1250,50001
